Event, subcl, eta_center, phi_center, time_center, eta_sig, phi_sig, etaphi_cov, timeeta_cov, energy, sw+
1198, 0, -0.421777, 6.03329, 0.0994527, 0.019903, 0.019782, -0.0352598, 0.123556, 253.586, 0.629553
1204, 0, -0.954877, 2.10247, 0.285937, 0.0208827, 0.0191571, 0.0835411, 0.00915253, 95.8583, 0.555096
1217, 0, 0.369908, 3.94051, 0.180092, 0.0192972, 0.0197495, -0.0031308, 0.0561057, 163.763, 1.04014
1219, 0, -0.183115, 0.174942, 0.106621, 0.0218019, 0.0226151, -0.249838, 0.166718, 15.4344, 0.873002
1230, 0, -1.31002, 1.03614, 0.132489, 0.0195363, 0.0192137, 0.0269029, 0.0782655, 239.365, 0.403608
1232, 0, 1.04518, 3.01675, -0.133782, 0.0181119, 0.046827, 0.00706692, 0.0333363, 44.461, 0.668781
1241, 0, 0.432752, 5.42188, 0.00745357, 0.0185932, 0.018917, 0.00596881, 0.0432561, 177.007, 0.111939
1244, 0, 0.0854794, 2.33177, 0.0775373, 0.0188273, 0.0189849, 0.00681546, -0.0508453, 314.994, 0.15631
1248, 0, 1.39069, 3.71041, 0.0852002, 0.0176632, 0.0189246, -0.0047974, -0.110981, 452.866, 0.131282
1249, 0, -0.364367, 3.18276, 0.0920492, 0.0186136, 0.0196244, -0.00269069, 0.108697, 193.884, 0.301932
1258, 0, -0.282774, 5.63174, 0.277324, 0.0197117, 0.0315177, 0.00180002, 0.0883214, 154.927, 0.508803
126, 0, -0.660186, 1.3363, -0.0199592, 0.0190886, 0.0193018, -0.0061751, 0.0189638, 283.894, 0.253554
131, 0, -0.0224459, 0.275636, 0.19603, 0.0205969, 0.020249, -0.0282286, 0.0297569, 375.585, 1.37535
132, 0, -0.11061, 3.75973, 0.356229, 0.0236393, 0.0208041, -0.193073, -0.115279, 16.5365, 1.12043
1259, 0, -1.20375, 5.14039, 0.116485, 0.0302182, 0.0972885, 0.634557, -0.103461, 46.6305, 1.00036
1279, 0, -0.181699, 4.75454, -0.0101209, 0.0194895, 0.019055, 0.00849897, 0.199198, 46.759, 1.16312
1281, 0, -0.704904, 4.09528, 0.606268, 0.0241635, 0.0239261, -0.295745, 0.155063, 16.6614, 1.38417
1286, 0, -0.57314, 3.7445, -0.0418177, 0.0190417, 0.0186419, 0.00103387, -0.0105955, 100.381, 0.303199
1291, 0, -0.949915, 3.06387, 0.215203, 0.0221549, 0.0197091, 0.0758716, -0.0547799, 151.357, 0.890891
1295, 0, -1.16519, 0.656717, 0.0393604, 0.0192827, 0.0192816, 0.00366475, 0.0751485, 667.67, 0.408427
1297, 0, 0.782614, 5.79437, 0.124082, 0.0229372, 0.023162, 0.00938166, 0.0522312, 146.516, 0.195427
1301, 0, 0.967706, 0.701474, 0.129643, 0.0222022, 0.0641294, 0.182602, -0.106243, 39.6014, 1.27542
1303, 0, 1.29318, 5.75025, 0.290703, 0.0239576, 0.0205913, 0.162723, 0.241597, 42.2565, 0.639867
1320, 0, -0.872289, 2.07017, 0.539896, 0.0181547, 0.0199892, -0.0475856, 0.023424, 84.1056, 0.236365
1330, 0, 0.0302142, 5.82475, 0.0351928, 0.0183029, 0.0188554, 0.000389133, -0.0745961, 53.9437, 0.270054
1335, 0, -0.977009, 1.55497, 0.366671, 0.0234611, 0.0250451, -0.0247735, 0.0870224, 138.12, 0.52273
1340, 0, -0.764764, 0.477043, -0.132123, 0.0183411, 0.0189253, 0.0178277, 0.153348, 584.395, 0.199714
1341, 0, 0.259811, 4.98249, 0.0728135, 0.0183153, 0.0185749, 0.00209983, -0.183281, 81.7432, 0.170754
1344, 0, 0.745103, 2.99668, 0.0161622, 0.0189225, 0.0190387, 0.000418586, 0.0404634, 584.3, 0.314108
135, 0, -0.311244, 3.83323, -0.172132, 0.0177649, 0.0370713, -0.00026511, 0.109082, 31.1336, 0.718067
1350, 0, 0.3307, 4.42023, 0.0271993, 0.0187362, 0.0205096, -0.014927, 0.0424173, 430.353, 0.621115
1351, 0, -1.32395, 0.0305788, 0.0934727, 0.0198304, 0.0451815, -0.327027, 0.0395575, 200.28, 0.214957
1355, 0, 0.195918, 4.0493, -0.00224666, 0.0198964, 0.024245, -0.00890291, 0.0389209, 473.075, 1.53138
1368, 0, -0.0843373, 0.866751, 0.636727, 0.0247696, 0.0232739, -0.223078, -0.0131911, 28.1731, 1.26705
1379, 0, 0.121742, 6.03099, -0.161417, 0.0183457, 0.0188106, -0.000380435, 0.0388689, 86.3312, 0.235303
1381, 0, 0.921475, 2.41113, 0.168339, 0.0190121, 0.0207439, 0.0139032, -0.0223855, 583.418, 0.658166
1389, 0, 0.454625, 5.88272, 0.595713, 0.0231406, 0.0243812, -0.0246215, 0.243074, 110.297, 0.232216
