Event,subcl,eta_center,phi_center,time_center,eta_sig,phi_sig,etaphi_cov,timeeta_cov,energy,sw+,label
1744,0,-0.487305,0.0187772,0.307748,0.0197283,0.0337577,0.0501757,0.0684323,176.122,0.43241,-1
1744,1,-0.997711,6.04291,0.226299,0.0196513,0.0239346,0.0766427,0.0214273,158.101,0.479018,-1
1747,0,-0.627046,0.0946675,-0.134091,0.0247333,0.0261374,0.0682787,-0.0827604,211.994,1.05782,-1
1752,0,0.113613,1.73947,0.130266,0.0222175,0.0305623,-0.105176,-0.0973527,40.7703,0.767214,-1
1765,0,-1.39255,5.54598,0.00937181,0.0187688,0.0199908,-0.0125049,0.0192849,383.952,0.438316,-1
1766,0,0.959822,4.73755,0.247962,0.0189779,0.0198369,-0.00770093,0.0314802,535.184,0.29719,-1
1768,0,-0.155662,4.70137,0.150657,0.0182482,0.018851,0.000729401,-0.0700131,171.605,0.111117,-1
1774,0,0.0876778,4.99855,0.0499848,0.0192552,0.0191884,-0.00819898,-0.140421,544.636,0.20061,-1
1779,0,0.0921859,4.89362,0.189348,0.0213303,0.0215906,-0.0493184,0.193561,132.694,0.24648,-1
1784,0,-0.699497,4.02556,0.149517,0.0219629,0.0253968,0.25155,-0.0690269,42.9259,1.02703,-1
1790,0,-1.10912,1.90288,-0.251051,0.022565,0.0556647,0.0280686,0.0250241,240.7,0.769935,-1
1791,0,0.0134031,0.903817,0.43986,0.0184711,0.0255048,0.00964711,-0.0315337,62.6905,1.06238,-1
1794,0,-0.635419,5.96413,-0.0206315,0.020247,0.0201894,-0.0244748,0.0710223,551.785,0.996176,-1
1798,0,0.558054,5.22897,-0.412591,0.0182467,0.0186176,0.00122708,0.142645,64.519,0.206457,-1
17,0,0.0458009,5.25644,0.135053,0.0196096,0.0203225,0.0218695,-0.0583202,435.397,0.582612,-1
20,0,-1.03144,4.42521,-0.259937,0.0196445,0.0425106,0.00171212,-0.0580837,171.709,0.503698,-1
181,0,1.03471,0.832588,0.251339,0.0202443,0.04916,-0.239727,0.0378632,69.0358,1.07436,-1
1801,0,-1.15706,3.44967,-0.0648997,0.0196744,0.0192834,-0.00910503,-0.0392731,196.709,0.577524,-1
1807,0,-0.0507311,5.99751,0.222452,0.0192455,0.0198819,-0.00276887,0.0634183,379.111,0.406782,-1
1810,0,0.961049,2.87842,0.266175,0.0230499,0.0235778,-0.263437,0.356263,16.7134,1.25356,-1
1846,0,0.328315,6.2212,0.0318045,0.0183152,0.018494,0.00912171,0.0802181,59.2279,0.203764,-1
1847,0,-0.186852,0.168778,1.33555,0.0244085,0.0262272,-0.343868,-0.401416,11.1242,1.28783,-1
1849,0,-0.129138,5.59997,0.42406,0.0214187,0.0228529,0.0646475,0.0881481,63.7323,0.617103,-1
1852,0,0.518301,2.79147,0.480837,0.019306,0.0251395,0.0538913,-0.0335121,41.5943,1.51744,-1
1854,0,-0.958463,1.06342,0.032925,0.0185025,0.023466,0.00254412,-0.0759533,169.845,0.632813,-1
1856,0,1.17065,0.947645,-0.0845138,0.0186917,0.0565131,-0.0890206,-0.085016,71.3155,0.242278,-1
1857,0,-0.901453,3.1032,0.326835,0.0234737,0.0475163,0.0270984,0.0706524,40.4794,0.922738,-1
1867,0,0.934832,2.95067,-0.225452,0.0195316,0.0226065,0.00685227,0.031501,86.8496,1.48705,-1
1870,0,-1.29407,0.620249,-0.273241,0.0225685,0.0558912,-0.487904,0.406607,60.3978,0.664456,-1
1871,0,-0.8797,2.00725,0.325427,0.021402,0.0219785,0.200471,-0.15406,103.718,0.545948,-1
1875,0,0.475909,6.02972,0.247323,0.0189851,0.0185726,0.0150423,0.110416,130.196,0.25246,-1
1894,0,-0.258819,5.7136,0.18574,0.0189581,0.0233536,-0.00929983,-0.0544837,440.709,0.2151,-1
1904,0,1.17537,2.66381,-0.27857,0.019845,0.0188571,0.00504083,-0.004112,284.888,0.697935,-1
1905,0,-0.208093,4.84108,0.243746,0.0182699,0.0189808,-0.00237873,-0.0221935,123.181,0.252795,-1
1924,0,-1.10471,1.44504,-0.188058,0.0199464,0.0281074,0.0266548,-0.079525,372.919,1.71898,-1
1928,0,-0.208816,4.80849,0.268144,0.0189043,0.0204496,-0.0688991,0.135531,54.7528,0.223175,-1
1929,0,-1.22115,5.15926,0.0451162,0.0233877,0.0549799,-0.181487,-0.0419815,119.098,0.384885,-1
1931,0,0.88749,1.24978,-0.374792,0.0191402,0.0206215,0.00164812,-0.0668809,270.858,0.565608,-1
1932,0,-1.01559,5.40641,0.395359,0.0197947,0.0207731,-0.0445052,0.0670152,82.9848,0.396253,-1
1935,0,0.0816685,0.516144,0.336793,0.0220819,0.0221528,-0.000398142,0.0198054,91.3203,0.520309,-1
